,MATCHUP,PTS,FG%,3P%,FT%,OREB,DREB,AST,STL,BLK,TOV,PF
648,HOU @ MIA,0.0,5.699999999999996,3.8000000000000043,-3.9000000000000057,3.0,-4.0,-5.0,2.0,-1.0,6.0,4.0
649,MIN vs. SAC,0.0,-5.699999999999996,-3.8000000000000043,3.9000000000000057,-3.0,4.0,5.0,-2.0,1.0,-6.0,-4.0
650,SAC @ MIN,-2.0,4.600000000000001,-3.6999999999999957,-5.200000000000003,4.0,9.0,-6.0,-4.0,-1.0,7.0,8.0
651,MIN vs. SAC,2.0,-4.600000000000001,3.6999999999999957,5.200000000000003,-4.0,-9.0,6.0,4.0,1.0,-7.0,-8.0
652,PHX @ TOR,8.0,1.3000000000000043,17.4,1.5,8.0,11.0,-10.0,-7.0,1.0,10.0,-4.0
653,TOR vs. PHX,-8.0,-1.3000000000000043,-17.4,-1.5,-8.0,-11.0,10.0,7.0,-1.0,-10.0,4.0
654,CHA @ MIL,-12.0,6.100000000000001,4.100000000000001,-5.0,-1.0,9.0,5.0,-4.0,5.0,4.0,-5.0
655,MIA vs. HOU,12.0,-6.100000000000001,-4.100000000000001,5.0,1.0,-9.0,-5.0,4.0,-5.0,-4.0,5.0
656,HOU @ MIA,-9.0,-2.0,-1.7999999999999972,-7.799999999999997,3.0,0.0,-3.0,2.0,1.0,2.0,0.0
657,MIA vs. HOU,9.0,2.0,1.7999999999999972,7.799999999999997,-3.0,0.0,3.0,-2.0,-1.0,-2.0,0.0
658,SAC @ MIN,-11.0,-3.0999999999999943,-9.299999999999997,-9.099999999999994,4.0,13.0,-4.0,-4.0,1.0,3.0,4.0
659,MIA vs. HOU,11.0,3.0999999999999943,9.299999999999997,9.099999999999994,-4.0,-13.0,4.0,4.0,-1.0,-3.0,-4.0
660,DAL @ OKC,23.0,16.599999999999994,23.200000000000003,9.599999999999994,-2.0,11.0,9.0,4.0,0.0,4.0,-4.0
661,OKC vs. DAL,-23.0,-16.599999999999994,-23.200000000000003,-9.599999999999994,2.0,-11.0,-9.0,-4.0,0.0,-4.0,4.0
662,IND @ DET,20.0,-1.6000000000000014,-2.8000000000000007,28.0,6.0,2.0,-3.0,-1.0,-2.0,-10.0,0.0
663,DEN @ ATL,-20.0,1.6000000000000014,2.8000000000000007,-28.0,-6.0,-2.0,3.0,1.0,2.0,10.0,0.0
664,IND @ DET,8.0,-1.3000000000000043,-1.1999999999999993,15.299999999999997,10.0,8.0,0.0,-3.0,-2.0,-1.0,3.0
665,DET vs. IND,-8.0,1.3000000000000043,1.1999999999999993,-15.299999999999997,-10.0,-8.0,0.0,3.0,2.0,1.0,-3.0
666,SAC @ CHI,-7.0,-3.200000000000003,-15.7,-16.599999999999994,12.0,3.0,-9.0,0.0,-2.0,5.0,-4.0
667,CHI vs. SAC,7.0,3.200000000000003,15.7,16.599999999999994,-12.0,-3.0,9.0,0.0,2.0,-5.0,4.0
